timestamp,close,high,low,open,volume,strike,option_type,LTP,IV,open_interest
,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,,,
2025-10-24 03:45:00+00:00,25850.80078125,25939.30078125,25846.05078125,25939.30078125,1000,,CE,26109.3087890625,0.2,5000
2025-10-24 03:50:00+00:00,25886.0,25892.400390625,25840.400390625,25851.150390625,1000,,CE,26144.86,0.2,5000
2025-10-24 03:55:00+00:00,25886.400390625,25893.30078125,25859.5,25886.30078125,1000,,CE,26145.264394531252,0.2,5000
2025-10-24 04:00:00+00:00,25875.400390625,25887.599609375,25864.5,25885.849609375,1000,,CE,26134.15439453125,0.2,5000
2025-10-24 04:05:00+00:00,25914.30078125,25914.69921875,25862.55078125,25876.150390625,1000,,CE,26173.4437890625,0.2,5000
2025-10-24 04:10:00+00:00,25903.5,25913.30078125,25883.44921875,25913.19921875,1000,,CE,26162.535,0.2,5000
2025-10-24 04:15:00+00:00,25883.19921875,25904.150390625,25881.94921875,25903.5,1000,,CE,26142.0312109375,0.2,5000
2025-10-24 04:20:00+00:00,25865.30078125,25883.75,25864.099609375,25883.75,1000,,CE,26123.9537890625,0.2,5000
2025-10-24 04:25:00+00:00,25893.099609375,25894.0,25865.19921875,25865.69921875,1000,,CE,26152.03060546875,0.2,5000
2025-10-24 04:30:00+00:00,25885.900390625,25901.900390625,25884.69921875,25893.19921875,1000,,CE,26144.75939453125,0.2,5000
2025-10-24 04:35:00+00:00,25901.30078125,25902.650390625,25880.94921875,25885.599609375,1000,,CE,26160.3137890625,0.2,5000
2025-10-24 04:40:00+00:00,25876.19921875,25903.0,25873.849609375,25900.900390625,1000,,CE,26134.9612109375,0.2,5000
2025-10-24 04:45:00+00:00,25834.400390625,25875.75,25834.400390625,25875.75,1000,,CE,26092.74439453125,0.2,5000
2025-10-24 04:50:00+00:00,25836.75,25844.849609375,25824.94921875,25834.900390625,1000,,CE,26095.1175,0.2,5000
2025-10-24 04:55:00+00:00,25826.94921875,25843.25,25822.099609375,25837.25,1000,,CE,26085.2187109375,0.2,5000
